layer,unit,description,similarity,sim correlation
encoder.layers.encoder_layer_10,324,secretariat,0.14990234,0.008850744925439358
encoder.layers.encoder_layer_10,325,kitchens,0.2168274,0.12084770202636719
encoder.layers.encoder_layer_10,326,vaults,0.19320679,0.10497719049453735
encoder.layers.encoder_layer_10,327,crossword,0.35064697,0.07742156088352203
encoder.layers.encoder_layer_10,328,prenatal,0.1956482,-0.02594205178320408
encoder.layers.encoder_layer_10,329,screened,0.23165894,0.06705612689256668
encoder.layers.encoder_layer_10,330,birding,0.19552612,0.13640524446964264
encoder.layers.encoder_layer_10,331,female,0.26593018,0.043657753616571426
encoder.layers.encoder_layer_10,332,parrot,0.2361145,0.134767085313797
encoder.layers.encoder_layer_10,333,screened,0.17254639,0.08993296325206757
encoder.layers.encoder_layer_10,334,textile,0.29629517,0.15562841296195984
encoder.layers.encoder_layer_10,335,yellowstone,0.23690796,0.08669921010732651
encoder.layers.encoder_layer_10,336,female,0.14855957,0.06270790845155716
encoder.layers.encoder_layer_10,337,dashboard,0.14816284,-0.014907056465744972
encoder.layers.encoder_layer_10,338,proactive,0.14865112,0.057488225400447845
encoder.layers.encoder_layer_10,339,lattice,0.121917725,0.11549238115549088
encoder.layers.encoder_layer_10,340,zebra,0.27539062,0.04171288385987282
encoder.layers.encoder_layer_10,341,monument,0.20935059,0.1218334510922432
encoder.layers.encoder_layer_10,342,valley,0.26257324,0.12483218312263489
encoder.layers.encoder_layer_10,343,installations,0.13278198,0.1000087633728981
encoder.layers.encoder_layer_10,344,ascii,0.13598633,-0.0008280273759737611
encoder.layers.encoder_layer_10,345,guess,0.16583252,0.055459436029195786
encoder.layers.encoder_layer_10,346,stripes,0.1942749,0.04818424955010414
encoder.layers.encoder_layer_10,347,horde,0.21734619,-0.06461220979690552
encoder.layers.encoder_layer_10,348,alaskan,0.21255493,0.12606900930404663
encoder.layers.encoder_layer_10,349,crossword,0.52038574,0.10554268956184387
encoder.layers.encoder_layer_10,350,broccoli,0.2527771,0.11453386396169662
encoder.layers.encoder_layer_10,351,jaguar,0.2755432,0.14343316853046417
encoder.layers.encoder_layer_10,352,fungi,0.33218384,0.17710718512535095
encoder.layers.encoder_layer_10,353,plaque,0.2392273,0.05726511776447296
encoder.layers.encoder_layer_10,354,sewer,0.27514648,0.10093867033720016
encoder.layers.encoder_layer_10,355,webdesign,0.24423218,0.09379378706216812
encoder.layers.encoder_layer_10,356,landscape,0.13717651,0.1517665684223175
encoder.layers.encoder_layer_10,357,pond,0.190094,0.20239759981632233
encoder.layers.encoder_layer_10,358,zebra,0.23565674,0.08050283789634705
encoder.layers.encoder_layer_10,359,cat,0.23321533,0.09219108521938324
encoder.layers.encoder_layer_10,360,broccoli,0.20959473,0.14183418452739716
encoder.layers.encoder_layer_10,361,web,0.31030273,0.058855004608631134
encoder.layers.encoder_layer_10,362,butterfly,0.5449524,0.242839977145195
encoder.layers.encoder_layer_10,363,dotted,0.27929688,0.039845265448093414
encoder.layers.encoder_layer_10,364,monument,0.14093018,0.07116694748401642
encoder.layers.encoder_layer_10,365,lizard,0.10784912,0.19159053266048431
encoder.layers.encoder_layer_10,366,granite,0.15164185,0.01834426447749138
encoder.layers.encoder_layer_10,367,daisy,0.27001953,-0.0022792343515902758
encoder.layers.encoder_layer_10,368,regard,0.14956665,0.020543314516544342
encoder.layers.encoder_layer_10,369,web,0.3701172,-0.06387115269899368
encoder.layers.encoder_layer_10,370,bee,0.21932983,0.05156604200601578
encoder.layers.encoder_layer_10,371,mating,0.26260376,0.18906131386756897
encoder.layers.encoder_layer_10,372,daisy,0.3408203,0.04510581120848656
encoder.layers.encoder_layer_10,373,street,0.4308777,0.11703543365001678
encoder.layers.encoder_layer_10,374,emu,0.12033081,0.09365803003311157
encoder.layers.encoder_layer_10,375,clubhouse,0.12347412,0.04451732710003853
