layer,unit,description,similarity,sim correlation
encoder.layers.encoder_layer_22,208,blanca,0.13830566,0.09640224277973175
encoder.layers.encoder_layer_22,209,textile,0.19406128,0.09160614013671875
encoder.layers.encoder_layer_22,210,zebra,0.20861816,0.07434108853340149
encoder.layers.encoder_layer_22,211,social,0.16073608,0.0323263518512249
encoder.layers.encoder_layer_22,212,terrier,0.1663208,0.047958508133888245
encoder.layers.encoder_layer_22,213,fur,0.19155884,0.2604796290397644
encoder.layers.encoder_layer_22,214,web,0.09686279,0.039743732661008835
encoder.layers.encoder_layer_22,215,juvenile,0.24429321,0.1020013689994812
encoder.layers.encoder_layer_22,216,daisy,0.19552612,0.12355895340442657
encoder.layers.encoder_layer_22,217,juvenile,0.13604736,0.05523214116692543
encoder.layers.encoder_layer_22,218,equipment,0.16134644,0.08591891080141068
encoder.layers.encoder_layer_22,219,juvenile,0.29263306,0.156467005610466
encoder.layers.encoder_layer_22,220,vaults,0.115112305,0.06067059561610222
encoder.layers.encoder_layer_22,221,lattice,0.26153564,-0.023867882788181305
encoder.layers.encoder_layer_22,222,dog,0.30877686,0.2317945659160614
encoder.layers.encoder_layer_22,223,rowing,0.35464478,0.1156202182173729
encoder.layers.encoder_layer_22,224,membrane,0.19616699,0.1155344769358635
encoder.layers.encoder_layer_22,225,swimming,0.20809937,0.05582914128899574
encoder.layers.encoder_layer_22,226,orchid,0.43099976,0.08920636773109436
encoder.layers.encoder_layer_22,227,wildlife,0.250885,0.2636128067970276
encoder.layers.encoder_layer_22,228,bedrooms,0.33200073,0.08959855139255524
encoder.layers.encoder_layer_22,229,puppy,0.20648193,0.12779425084590912
encoder.layers.encoder_layer_22,230,insects,0.18850708,0.2471809983253479
encoder.layers.encoder_layer_22,231,female,0.24194336,0.05137434974312782
encoder.layers.encoder_layer_22,232,sweets,0.14620972,0.06148231402039528
encoder.layers.encoder_layer_22,233,gymnastics,0.22796631,0.10386160016059875
encoder.layers.encoder_layer_22,234,medications,0.1673584,0.0778963640332222
encoder.layers.encoder_layer_22,235,crane,0.14401245,0.07201482355594635
encoder.layers.encoder_layer_22,236,terrier,0.24597168,0.07388727366924286
encoder.layers.encoder_layer_22,237,female,0.32122803,0.027871549129486084
encoder.layers.encoder_layer_22,238,wildlife,0.19940186,0.20395991206169128
encoder.layers.encoder_layer_22,239,dishwasher,0.18261719,0.05820971727371216
encoder.layers.encoder_layer_22,240,stain,0.14846802,0.008495760150253773
encoder.layers.encoder_layer_22,241,fungi,0.17922974,0.18456456065177917
encoder.layers.encoder_layer_22,242,pelican,0.22106934,0.09456586837768555
encoder.layers.encoder_layer_22,243,wildlife,0.16845703,0.2026197612285614
encoder.layers.encoder_layer_22,244,juvenile,0.43414307,0.16463708877563477
encoder.layers.encoder_layer_22,245,ascii,0.2131958,0.033096425235271454
encoder.layers.encoder_layer_22,246,mating,0.12854004,-0.01886163279414177
encoder.layers.encoder_layer_22,247,parrot,0.18826294,0.0682627335190773
encoder.layers.encoder_layer_22,248,habit,0.18710327,-0.019394278526306152
encoder.layers.encoder_layer_22,249,feather,0.1269226,0.07979775965213776
encoder.layers.encoder_layer_22,250,cushions,0.27474976,0.11490827053785324
encoder.layers.encoder_layer_22,251,brushes,0.14266968,0.05575498938560486
encoder.layers.encoder_layer_22,252,terrier,0.38900757,0.301338791847229
encoder.layers.encoder_layer_22,253,lattice,0.11340332,0.01707369275391102
encoder.layers.encoder_layer_22,254,peacock,0.27767944,0.09992269426584244
encoder.layers.encoder_layer_22,255,monkeys,0.13101196,0.09075970202684402
encoder.layers.encoder_layer_22,256,dragonfly,0.6253662,0.15913425385951996
encoder.layers.encoder_layer_22,257,orchid,0.10189819,0.05095914006233215
encoder.layers.encoder_layer_22,258,ferries,0.1769104,0.08304081857204437
encoder.layers.encoder_layer_22,259,dragonfly,0.4196167,0.15168365836143494
encoder.layers.encoder_layer_22,260,fruit,0.20187378,0.08188147842884064
encoder.layers.encoder_layer_22,261,bei,0.16351318,-0.00965649913996458
encoder.layers.encoder_layer_22,262,incense,0.15563965,0.06963188946247101
encoder.layers.encoder_layer_22,263,cucumber,0.20639038,0.08418119698762894
encoder.layers.encoder_layer_22,264,basename,0.1427002,0.013216069899499416
encoder.layers.encoder_layer_22,265,carisoprodol,0.33355713,0.01510758325457573
encoder.layers.encoder_layer_22,266,mating,0.23709106,0.05462697520852089
encoder.layers.encoder_layer_22,267,kitchens,0.27148438,0.14786000549793243
encoder.layers.encoder_layer_22,268,manufacturer,0.13406372,0.044305469840765
encoder.layers.encoder_layer_22,269,instrument,0.14953613,0.20517970621585846
encoder.layers.encoder_layer_22,270,habitat,0.22195435,0.14559300243854523
encoder.layers.encoder_layer_22,271,airborne,0.15505981,0.05907025560736656
encoder.layers.encoder_layer_22,272,madagascar,0.15829468,0.033796049654483795
encoder.layers.encoder_layer_22,273,dotted,0.268219,0.08344766497612
encoder.layers.encoder_layer_22,274,fungi,0.32052612,0.16889603435993195
encoder.layers.encoder_layer_22,275,slug,0.3737793,0.1269155889749527
encoder.layers.encoder_layer_22,276,tiles,0.13858032,0.08225013315677643
encoder.layers.encoder_layer_22,277,aerosol,0.08441162,0.022695790976285934
encoder.layers.encoder_layer_22,278,juvenile,0.34902954,0.12224645167589188
encoder.layers.encoder_layer_22,279,peacock,0.30767822,0.10938072949647903
encoder.layers.encoder_layer_22,280,laserjet,0.2624817,0.11611467599868774
encoder.layers.encoder_layer_22,281,bees,0.24639893,0.08473282307386398
encoder.layers.encoder_layer_22,282,juvenile,0.34976196,0.1840904951095581
encoder.layers.encoder_layer_22,283,saws,0.2015686,0.10389357805252075
encoder.layers.encoder_layer_22,284,keyboard,0.3022766,0.15548743307590485
encoder.layers.encoder_layer_22,285,chestnut,0.41305542,0.1354953944683075
encoder.layers.encoder_layer_22,286,dotted,0.17929077,0.08286914974451065
encoder.layers.encoder_layer_22,287,telephone,0.37384033,0.12169630080461502
encoder.layers.encoder_layer_22,288,mating,0.27435303,0.15163329243659973
encoder.layers.encoder_layer_22,289,ascii,0.24224854,0.006282423157244921
encoder.layers.encoder_layer_22,290,blinds,0.19992065,0.101458840072155
encoder.layers.encoder_layer_22,291,cottages,0.19326782,0.08970611542463303
encoder.layers.encoder_layer_22,292,fruit,0.32522583,0.1304585486650467
