layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation,sim ablation(optim),sim ablation(norm)
layer4,73,0.291927469,1.7876052,tennis ball,1.4674103,Granny Smith apple,1.2284691,goldfinch,1.1740174,percoid fish,0,0,0,0,0,0,0,0,0,0,0,0,0.46308586,0.159299016,0.031323016,0.018219769
layer4,74,0.363260936,1.688411,military hat (bearskin or shako),1.4679391,radio telescope,1.3139734,measuring instrument,1.0881878,wild dog,1.0448313,bear,0.3946363,structure,0,0,0,0,0,0,0,0,0.523064733,0.255430311,0.039600909,0.034033239
layer4,75,0.329250771,1.3437233,hot dog,1.2948043,dugong,0.6679934,sea lion,0.40575302,solid,0,0,0,0,0,0,0,0,0,0,0,0,0.289034158,0.145871788,0.025230467,-0.008368254
layer4,76,0.473773713,2.4293478,spider web,1.1995983,spider,0.3590153,invertebrate,0.12020447,organism,0,0,0,0,0,0,0,0,0,0,0,0,0.347858787,0.446886599,0.085711718,0.078920722
layer4,77,0.310041298,0.8455997,musical instrument,0.50249296,conveyance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4990367,0.19159852,0.017558992,0.008873999
layer4,78,0.311449533,1.5934689,weight,1.3260472,electric fan,1.120131,cannon,0.15811084,device,0,0,0,0,0,0,0,0,0,0,0,0,0.370041162,0.191959083,0.02658987,-0.011834145
layer4,79,0.426664528,1.1934367,kitchen appliance,1.0707225,squash,1.0443062,schnauzer,0.977736,utensil,0.6851316,food,0,0,0,0,0,0,0,0,0,0,0.482674807,0.283711255,0.063956678,0.06198132
layer4,80,0.377777781,0.94432044,mitten,0.64948964,teapot,0.5397404,footwear,0.34695533,food,0.27344152,appliance,0.18629944,domestic animal,0.09499714,instrumentality,0,0,0,0,0,0,0.229463235,0.257881373,0.025467277,0.017953932
layer4,81,0.255246338,1.301654,obelisk,0.8161706,mailbox,0.7555878,baseball player,0.27381018,clothing,0,0,0,0,0,0,0,0,0,0,0,0,0.415274441,0.197473407,0.029263556,0.023771167
layer4,82,0.512223712,2.1925392,hippopotamus,2.1914182,aquatic bird,1.1950816,boat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682841122,0.518321514,0.075170279,0.072880507
layer4,83,0.290450586,1.3481265,gyromitra,1.1491861,hen,0.9157418,Bloodhound,0.87198496,payphone,0.35288054,bag,0,0,0,0,0,0,0,0,0,0,0.410331011,0.247233242,0.019528806,-0.010982394
layer4,84,0.433268451,1.6278785,block plane,1.5121833,sandwich,0.7958269,home appliance,0.61347044,substance,0.23479307,instrumentality,0,0,0,0,0,0,0,0,0,0,0.374864608,0.230106682,0.028827786,0.005292177
layer4,85,0.34906493,1.9353528,quilt,1.6172584,mosquito net,1.0049623,furnishing,0.37979254,commodity,0,0,0,0,0,0,0,0,0,0,0,0,0.590083241,0.228820175,0.018763006,0.014844298
layer4,86,0.468453714,2.486949,aquatic mammal,2.0627005,Old English Sheepdog,1.2191654,craft,1.217108,cartilaginous fish,0.79809886,terrier,0,0,0,0,0,0,0,0,0,0,0.496079147,0.394296765,0.074661374,0.061704457
layer4,87,0.428200057,1.6522025,mountain,1.2570589,bovid,0.26692137,mammal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443420887,0.363852948,0.085194886,0.063093603
layer4,88,0.441131165,2.3934171,water tower,2.3658004,bell tower,1.591222,bird of prey,0.84259707,primate,0.6645618,bird,0.6507368,structure,0,0,0,0,0,0,0,0,0.549837589,0.409126699,0.07919246,0.061039746
layer4,89,0.418018135,2.2874565,ostrich,1.9320154,goblet,1.5706096,bighorn sheep,1.4263738,piano,1.1730206,wading bird,1.0465956,fox,0,0,0,0,0,0,0,0,0.485233277,0.38038069,0.043023825,0.023854375
layer4,90,0.341820449,1.385569,slot machine,1.1308645,piano,0.910407,sandwich,0.37915048,aquatic bird,0.14533715,instrumentality,0,0,0,0,0,0,0,0,0,0,0.371986747,0.234289691,0.01358825,0.010906518
