layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,bias,sim correlation
layer4,88,0.4978349421024027,7.342533,tower,4.7727065,branch,3.9872515,statue,2.9649656,bird,2.4611084,howler monkey,0.4791783988475799,0.4943722188472748
layer4,89,0.3765072583522399,3.122184,grand piano,3.0041606,ostrich,2.045348,wading bird,1.8397629,greyhound,0.51762617,shorebird,0.4633253514766693,0.35943570733070374
layer4,90,0.3700730494383601,3.12156,collection,3.0289407,cassette,2.6633348,upright piano,2.5162613,vending machine,2.4996073,harmonica,0.4005293250083923,0.3233187794685364
layer4,91,0.3864933394620707,2.4735825,Chesapeake Bay Retriever,1.6668122,Airedale Terrier,1.4858367,Standard Poodle,1.3614873,Miniature Poodle,0.6232595,poodle,0.3292041718959808,0.41020339727401733
layer4,92,0.4691382439157572,4.0814757,entertainment center,3.178389,three-toed sloth,2.9985268,Affenpinscher,2.645313,Scottish Terrier,1.5541264,arachnid,0.3982699513435364,0.4976402223110199
layer4,93,0.3952151548424322,3.4152596,mop,2.8609831,Komondor,2.7975283,porcupine,2.3659332,sloth,1.6801783,beaver,0.4008158445358276,0.34969502687454224
layer4,94,0.5054763002564509,3.1985214,tradition,2.6834204,infancy,1.996439,kid,1.8722239,guard,1.7547431,kimono,0.2868671119213104,0.4748818576335907
layer4,95,0.4718734206398259,3.9102674,flock,2.7240632,sparrow,1.8979564,waterfowl,1.8341635,bird,0.61484903,finch,0.4684362411499023,0.4338921010494232
layer4,96,0.2791527142604056,4.8779593,chocolate syrup,2.6612866,dessert,2.092388,Newfoundland dog,1.7523456,Schipperke,1.1636335,brownie,0.4447532892227173,0.27417951822280884
layer4,97,0.3110457602140709,3.4980693,corkscrew,3.4277132,mosque,3.1899285,screw,1.9906164,antelope,1.8044517,fastener,0.4538507461547851,0.30943235754966736
layer4,98,0.3581319323878458,2.8466928,T-shirt,2.521165,t-shirt,2.4761832,dumbbell,2.0552971,hood,1.4814534,Newfoundland dog,0.3661497235298157,0.32514744997024536
layer4,99,0.4179766499304532,2.7445543,hippopotamus,2.464318,water buffalo,2.3571131,acorn squash,1.8699793,ring-necked snake,1.4427398,primate,0.4173116087913513,0.4088088870048523
layer4,100,0.4456036454761199,3.4543746,mousse,3.269769,jalape̱o,3.162302,supper,2.3663926,bed,1.9181684,bath,0.2801419496536255,0.4567846655845642
layer4,101,0.3030170348636145,2.155672,safety pin,1.9032277,teapot,1.8858795,gong,1.7840221,pail,1.2801231,Norwegian Elkhound,0.4100619554519653,0.2602159380912781
layer4,102,0.3370314317383263,3.831794,stencil,2.6245441,rug,2.5101757,crossword,2.406964,boa constrictor,2.265044,puzzle,0.3795540928840637,0.35643336176872253
layer4,103,0.5797124949415788,2.2533157,sloth,2.1328633,wildlife,2.0395713,mammal,1.914561,wirehair,1.2134191,aquatic mammal,0.3213824331760406,0.5573487877845764
layer4,104,0.4203605971597202,4.234581,bench,2.9196413,hearth,2.4361134,artifact,2.3371196,spindle,2.331191,antique,0.3407778441905975,0.4199371039867401
layer4,105,0.4086004072284966,3.1174366,Border Collie,2.1501687,trolleybus,1.978194,Old English Sheepdog,1.7163429,Shih Tzu,1.2573833,Miniature Schnauzer,0.3739384114742279,0.38147905468940735
layer4,106,0.3183771640154897,3.7818742,bikini,2.6565166,banana,2.4601924,missile,2.4435735,armament,2.2731874,shoes,0.3829479813575744,0.3222164809703827
layer4,107,0.371276293093161,2.3610826,african grey parrot,2.0029528,West Highland White Terrier,1.9471333,Old English Sheepdog,1.9303536,small white butterfly,1.7105753,Komondor,0.3763242363929748,0.3040856122970581
layer4,108,0.500736144103623,3.7947936,train,2.693657,angiosperm,2.2997525,sea anemone,2.211413,fungus,1.9480783,invertebrate,0.3792804777622223,0.5239496231079102
layer4,109,0.3834628077732,2.6742375,tusk,2.4383712,motorcar,2.2008002,Komodo dragon,1.5896288,Briard,1.4399008,Gila monster,0.3481177985668182,0.3342663049697876
layer4,110,0.3326948837909616,4.720738,mechanical device,2.7674787,Polaroid camera,2.5666611,turnstile,2.00977,payphone,1.9869525,parking meter,0.4510723054409027,0.3416355550289154
layer4,111,0.3751150776932108,2.8278406,even-toed ungulate,2.489718,livestock,2.426834,ox,1.3618848,axolotl,1.2688997,ambystomid,0.3870878219604492,0.3811993896961212
layer4,112,0.3606096895114181,2.4979558,flamingo,2.1929529,bike,2.1870782,tradition,1.277395,unicycle,0.75388056,stinkhorn mushroom,0.2820974588394165,0.368765264749527
